Parent,Item,BARCODE,Closing,PRICE_AED, Prices us
Ajmal,Ajmal Mizyaan Concentrated Perfume Oil 14ml,6293708001361,13 Pcs,60,$16.36 
Ajmal,Ajmal Moshriqa Edp 50ml Spy,6293708014309,13 Pcs,52,$14.18 
Ajmal,Ajmal Musk Khas Concentrated Perfume Oil 3ml,6293708010943,13 Pcs,44,$12.00 
Ajmal,Ajmal Musk Silk Perfume Oil 12ml,6293704010336,120 Pcs,44,$12.00 
Ajmal,Ajmal My Stellar Edp 100ml Spy,6293708018901,24 Pcs,70,$19.09 
Ajmal,Ajmal Mystery M Edp 100ml Spy,6293708007318,13 Pcs,66,$18.00 
Ajmal,Ajmal My Wonder Edp 85ml Spy,6293708015672,13 Pcs,99,$27.00 
Ajmal,Ajmal Neutron M Edp 100ml Spy,6293708001484,55 Pcs,29,$7.91 
Ajmal,Ajmal Noble Notes Edp 100ml Spy,6293708019557,24 Pcs,185,$50.45 
Ajmal,Ajmal Oath M Edp 100ml Spy,6293708013272,7 Pcs,85,$23.18 
Ajmal,Ajmal Orbiter Edp 100ml Spy,6293708018635,8 Pcs,42,$11.45 
Ajmal,Ajmal Patchouli Wood Edp 100ml Spy,6293708008612,18 Pcs,265,$72.27 
Ajmal,Ajmal Purely Orient Amber Edp 75ml Spy,6293708011001,12 Pcs,250,$68.18 
Ajmal,Ajmal Purely Orient Amber Edp 75ml Tester,6293708106486,1 Pcs,210,$57.27 
Ajmal,Ajmal Purely Orient Cashmere Wood Edp 75ml Spy,6293708011551,11 Pcs,250,$68.18 
Ajmal,Ajmal Purely Orient Cashmere Wood Edp 75ml Tester,6293708106448,1 Pcs,210,$57.27 
Ajmal,Ajmal Purely Orient Patchouli Edp 75ml Spy,6293708010998,12 Pcs,250,$68.18 
Ajmal,Ajmal Purely Orient Patchouli Edp 75ml Tester,6293708106479,1 Pcs,210,$57.27 
Ajmal,Ajmal Purely Orient Saffron Edp 75ml Spy,6293708011575,12 Pcs,250,$68.18 
Ajmal,Ajmal Purely Orient Saffron Edp 75ml Tester,6293708106462,1 Pcs,210,$57.27 
Ajmal,Ajmal Purple Rose Perfume Oil 12ml,6293704009736,84 Pcs,30,$8.18 
Ajmal,Ajmal Qafiya 1 Edp 75ml Spy,6293708008285,2 Pcs,145,$39.54 
Ajmal,Ajmal Qafiya Year of Zayed Edp 75ml Spy,6293708012565,18 Pcs,145,$39.54 
Ajmal,Ajmal Raindrops W 200ml Deo.Spy,6293708006960,76 Pcs,9,$2.45 
Ajmal,Ajmal Raindrops W Edp 50ml Spy,6293708001712,64 Pcs,29,$7.91 
Ajmal,Ajmal Rhythm of Oud Edp 100ml Spy,6293708018000,26 Pcs,150,$40.91 
Ajmal,Ajmal Rose Wood Edp 100ml Spy,6293708007776,13 Pcs,265,$72.27 
Ajmal,Ajmal Sacred Love W 200ml Deo.Spy,6293708006953,90 Pcs,9,$2.45 
Ajmal,Ajmal Sacred Love W Edp 50ml Spy,6293708001798,19 Pcs,33,$9.00 
Ajmal,Ajmal Sacrifice Her 200ml Deo.Spy,6293708006946,82 Pcs,9,$2.45 
Ajmal,Ajmal Sacrifice Her Edp 50ml Spy,6293708002313,1 Pcs,45,$12.27 
Ajmal,Ajmal Sacrifice Him II 200ml Deo.Spy,6293708006915,88 Pcs,9,$2.45 
Ajmal,Ajmal Sacrifice Him II Edp 90ml Spy,6293708004416,8 Pcs,48,$13.09 
